customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5146UJDDB,Female,0,No,No,71,No,No phone service,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),109,179,Yes
8286ZRVMG,Male,1,No,No,26,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,41,30,Yes
3059QDOMJ,Male,0,No,Yes,23,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),32,665,Yes
2724ZOJVV,Male,1,No,No,16,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,24,207,Yes
2711WACWW,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,52,794,Yes
7220KLABE,Female,1,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,65,484,Yes
2792MJIUI,Female,1,No,No,49,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),37,873,No
8530URODB,Female,1,No,Yes,63,No,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,One year,No,Credit card (automatic),23,661,No
1972SUZEB,Male,1,No,No,10,No,No phone service,DSL,Yes,No,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),37,435,No
9809NWNWY,Male,1,Yes,No,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26,134,Yes
9645GJNKM,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),57,825,No
2471CLROQ,Female,1,Yes,No,14,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Two year,Yes,Electronic check,115,468,Yes
6316QXZKC,Male,0,Yes,No,9,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),109,899,Yes
4358PLEWK,Female,1,Yes,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,72,736,Yes
5238KFLIN,Female,0,No,Yes,24,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,97,693,Yes
3346WJJOK,Male,1,Yes,No,26,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,73,411,No
3587ZKIFW,Female,1,No,Yes,65,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),87,533,No
5209GTPRU,Male,0,Yes,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),120,989,Yes
1885YHNNB,Female,1,No,Yes,36,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,86,320,Yes
8327UNWQW,Male,0,No,No,19,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Electronic check,98,66,Yes
1042MIHPB,Male,1,No,No,13,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),103,156,No
1829PYIDJ,Female,0,No,No,49,No,No phone service,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),64,631,No
6607ODILS,Male,1,No,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30,210,No
4029VNJSS,Female,1,No,No,2,No,No phone service,DSL,No,No internet service,No,Yes,No internet service,No,Two year,No,Mailed check,32,902,Yes
5692LCNSU,Male,0,Yes,No,20,No,No phone service,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,60,257,No
1075MQXGP,Male,0,No,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),66,192,Yes
6355YDXXC,Female,1,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,79,406,No
1263WVUVB,Male,1,Yes,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,114,263,No
4910CADLM,Male,1,No,Yes,67,No,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),38,857,No
4402QSRSX,Female,1,Yes,No,35,No,No phone service,DSL,No,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,19,634,No
4032SIFYB,Male,0,Yes,No,56,No,No phone service,DSL,No internet service,No,No,Yes,No internet service,No,One year,No,Electronic check,99,599,No
8197XAJZN,Male,1,No,Yes,44,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,53,642,No
6594PMPNE,Male,1,Yes,No,29,Yes,No,DSL,No,Yes,No,No,No,No internet service,One year,No,Credit card (automatic),101,851,Yes
6892WZZDK,Male,1,Yes,No,7,No,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),122,289,Yes
2369VAXKR,Female,1,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No,One year,Yes,Electronic check,120,558,No
2497VDJQB,Male,1,Yes,Yes,69,No,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),47,359,No
4434FJCHB,Female,1,No,Yes,59,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),52,648,No
2818JJLKG,Female,0,No,Yes,32,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,104,756,Yes
4495JSMQA,Male,0,Yes,Yes,58,No,No phone service,DSL,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,59,111,No
3445FXVWW,Female,0,Yes,Yes,61,No,No phone service,DSL,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),70,445,Yes
3692NAPKJ,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,51,980,Yes
7038GGWGT,Female,1,Yes,Yes,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),99,930,No
2641GOYKM,Female,0,Yes,Yes,67,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,112,985,No
8106RQMPE,Male,0,No,Yes,1,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Credit card (automatic),83,605,No
7106UWWFS,Female,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),93,883,Yes
6285MPUPE,Female,0,Yes,Yes,6,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,No,Two year,No,Electronic check,82,186,Yes
9668KSICK,Male,0,Yes,No,0,No,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),105,167,Yes
7752TYLOH,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,15,787,Yes
3941SFBSE,Female,0,Yes,Yes,48,No,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,120,594,No
4687DFOQX,Female,1,Yes,Yes,72,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,78,106,No
2322YZTHM,Male,0,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,16,740,Yes
8784HMPVB,Male,0,Yes,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29,440,Yes
8489AUQHL,Female,1,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,71,897,Yes
6180EKGKN,Female,0,No,Yes,49,No,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,107,850,No
7100SCPSX,Male,0,No,Yes,49,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),34,893,Yes
7033HHLFA,Male,0,Yes,No,54,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,94,30,Yes
7058IXYWU,Female,0,No,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),120,53,No
5151SHQXI,Female,0,Yes,Yes,60,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,22,170,Yes
2615CMGDE,Male,1,Yes,Yes,60,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),88,603,No
1906GMIRL,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),93,360,Yes
2569DZNAF,Male,0,Yes,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,89,259,Yes
5503KZQRR,Male,1,No,No,49,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),77,849,No
6089CKCXP,Female,0,No,Yes,31,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),72,836,Yes
2845ANSWT,Female,0,No,Yes,39,No,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,56,685,Yes
3916VVVMT,Male,0,Yes,Yes,58,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),61,62,No
7552GGLRC,Female,1,No,No,48,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),107,92,No
5918TYYTE,Male,1,Yes,Yes,67,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),94,633,No
8491VDZWD,Male,0,Yes,No,22,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,37,333,Yes
7859XNZRT,Male,1,Yes,No,9,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),15,892,Yes
9974DCKIH,Male,1,No,No,60,No,No phone service,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,19,780,Yes
1131RPEOP,Male,1,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),116,400,Yes
8339WCBCG,Female,0,No,Yes,19,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,32,285,Yes
6260BIAIF,Female,0,No,No,34,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),87,68,No
2638KUPER,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,67,853,Yes
7595YMXHG,Female,1,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,112,901,Yes
3546SQLXX,Female,0,Yes,Yes,40,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),82,357,Yes
7025DCNSM,Male,1,Yes,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),69,475,Yes
1578NXCDY,Female,0,Yes,Yes,64,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),74,85,No
8022MZEHO,Female,0,Yes,No,43,No,No phone service,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),98,379,Yes
1865SAGQD,Male,1,Yes,No,52,No,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Electronic check,97,243,Yes
4285WCHYH,Female,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,63,685,Yes
7553BMUAL,Male,0,No,No,67,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),16,908,No
2549DYRST,Male,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),99,140,Yes
9629VLEPP,Female,1,No,Yes,62,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20,861,No
6743ZXIEP,Male,1,Yes,Yes,17,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),17,331,No
4634HVYFE,Female,0,No,Yes,43,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,58,191,Yes
8390BSPRB,Female,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),34,971,No
1605WCVUX,Female,1,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42,510,No
1241FYHXA,Female,1,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),106,632,No
4416ONSTP,Female,1,No,No,42,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26,866,Yes
7372BSKCC,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,101,292,No
5351INPAB,Female,1,Yes,Yes,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),100,601,No
1862KEEVO,Female,1,No,No,63,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18,35,Yes
9616RFJJF,Female,0,Yes,Yes,59,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),99,862,Yes
2793OHJLO,Male,0,No,Yes,55,Yes,No phone service,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),67,178,Yes
1561NTFCE,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57,322,No
1887NJUAU,Male,1,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,59,629,No
7313OIENZ,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,109,69,No
5645IXFPH,Male,1,Yes,Yes,69,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,104,962,No
2274HZMXN,Male,1,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,35,326,Yes
4709RAYKB,Male,0,Yes,Yes,50,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,65,906,No
6501XUYWK,Female,1,Yes,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,114,437,Yes
4273HRKAI,Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,115,930,No
1091IMATS,Female,1,Yes,No,18,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75,265,Yes
9032EBGHO,Female,1,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26,469,Yes
2031LKJUO,Male,0,No,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40,613,No
9038SLQAI,Male,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,87,660,Yes
6343PQNLK,Female,1,No,No,63,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,29,274,No
6991PLRMM,Female,1,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,124,640,Yes
4688BGYDD,Female,0,No,No,13,No,No phone service,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,93,612,Yes
6503FLHHB,Male,1,No,No,48,No,No phone service,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),36,364,Yes
9294TZEHD,Female,1,Yes,Yes,18,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,69,449,Yes
1663NVJPU,Female,0,Yes,No,20,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),39,917,No
6535FRVFM,Female,1,Yes,Yes,50,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,86,206,No
4314KHHWX,Male,1,No,No,68,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),79,382,No
8694BOVJU,Female,0,No,Yes,10,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),115,999,No
4282OFRBL,Female,1,Yes,No,24,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),119,79,Yes
3885YCIPN,Male,1,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),112,196,Yes
6890SLWDR,Female,1,No,Yes,42,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),84,773,No
6396LQBFW,Female,0,No,Yes,23,No,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),52,268,Yes
9951KOFVI,Male,0,Yes,No,5,No,No phone service,DSL,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),111,346,No
6916ZHFJZ,Male,0,Yes,Yes,22,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),74,579,No
1133HCYYV,Male,0,No,Yes,25,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,29,287,Yes
5112SQGHI,Male,1,No,No,34,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,104,848,Yes
1234KDQEO,Female,1,Yes,Yes,47,No,No phone service,DSL,Yes,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),109,611,No
1667PVUIA,Female,1,Yes,Yes,11,No,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,51,939,No
8091GWXIF,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53,88,Yes
3365EKXUL,Female,1,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21,757,No
8637UJGGZ,Female,1,Yes,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),15,81,No
9267XPEZG,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,81,342,Yes
8771NMHOW,Male,0,No,Yes,21,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,44,97,No
7515THXXN,Female,1,No,No,48,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,53,394,Yes
4784FOSTL,Female,1,No,Yes,5,No,No phone service,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),103,650,No
3863DNCOR,Female,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),21,714,Yes
3064WUVND,Male,0,Yes,No,30,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,121,766,No
6776JLJXA,Female,1,Yes,Yes,63,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),17,943,No
5699DTMMY,Male,1,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,61,620,Yes
1187DTXIR,Female,1,Yes,No,24,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,87,973,Yes
4085YQCRA,Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,93,874,Yes
4142WTJAG,Female,1,Yes,No,44,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),80,607,Yes
9401XOVQM,Male,1,Yes,No,59,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),107,773,Yes
7024VHJAW,Female,0,Yes,No,22,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),97,276,No
1935DGDZY,Male,1,No,Yes,12,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),108,16,No
2533TXRJB,Female,0,Yes,Yes,25,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),68,789,No
8735OMPXK,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,87,534,Yes
2943CARIU,Female,1,Yes,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,One year,No,Mailed check,27,409,No
3620MBXOL,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),57,705,No
3841DMXMX,Male,1,Yes,Yes,41,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,20,122,Yes
7618ZWPMM,Female,1,No,Yes,39,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),27,610,Yes
